Lemma	POS	Description
assono1	51	
Assorini	12	
Assorinus	21	
Assorum	12	
assuefacio	55	
assuesco	53	
assuetudo	13	
assuetus	21	
assugo	53	
assula	11	
assulto	51	
assultus	14	
assum1	56	
assumo	53	
assurgo	53	
assus	21	
asto	51	
astragalus	12	
astrepo	53	
astricte	6&	
astrictus	21	 Au propre, Terme médical : Constipé;Au figuré, terme de rhétorique : Concis
astringo	53	
astrologia	11	
astrologus	12	
astronomia	11	
astrum	12	
astruo	53	
astu	17	
astupeo	52	
asturco	13	
astus	14	
astute	60	
astutia	11	
astutus	21	
asylum	12	
at1	60	
at2	81	
atat	90	
ataui	12	
atauus	12	
ater	21	
Athenae	11	
Athenienses	13	
Atheniensis	24	
Athenio	17	
athleta	11	
Atidius	12	
Atilius	12	
Atinius	21	
atlantes	17	
atomus	12	
atque1	81	
atque2	82	
atqui	81	
atramentum	12	
atratus	21	
atriensis1	13	
